State,Interstate,Intrastate,Year,Month,,
Queensland,736,"1,558",2022,August,,
South Australia,239,330,2022,August,,
Western Australia,150,708,2022,August,,
Tasmania,187,126,2022,August,,
Northern Territory,198,127,2022,August,,
Australian Capital Territory,259,209,2022,August,,
New South Wales,950,"1,816",2023,August,,
Victoria,606,"1,461",2023,August,,
Queensland,788,"1,540",2023,August,,
South Australia,262,345,2023,August,,
Western Australia,456,813,2023,August,,
Tasmania,209,267,2023,August,,
Northern Territory,149,309,2023,August,,
Australian Capital Territory,317,409,2023,August,,
New South Wales,"1,016","2,095",2022,September,,
Victoria,648,"1,731",2022,September,,
Queensland,704,"1,548",2022,September,,
South Australia,259,355,2022,September,,
Western Australia,191,888,2022,September,,
Tasmania,209,100,2022,September,,
Northern Territory,187,203,2022,September,,
Australian Capital Territory,282,498,2022,September,,
New South Wales,853,"1,921",2023,September,,
Victoria,571,"1,583",2023,September,,
Queensland,522,"1,578",2023,September,,
South Australia,267,334,2023,September,,
Western Australia,567,780,2023,September,,
Tasmania,354,409,2023,September,,
Northern Territory,187,293,2023,September,,
Australian Capital Territory,260,354,2023,September,,
New South Wales,891,"2,380",2022,October,,
Victoria,690,"1,496",2022,October,,
Queensland,813,"1,660",2022,October,,
South Australia,248,490,2022,October,,
Western Australia,206,907,2022,October,,
Tasmania,111,155,2022,October,,
Northern Territory,23,60,2022,October,,
Australian Capital Territory,297,309,2022,October,,
New South Wales,"1,020","2,483",2023,October,,
Victoria,728,"1,688",2023,October,,
Queensland,645,"1,521",2023,October,,
South Australia,298,401,2023,October,,
Western Australia,356,805,2023,October,,
Tasmania,309,387,2023,October,,
Northern Territory,276,172,2023,October,,
Australian Capital Territory,313,329,2023,October,,
New South Wales,853,"2,039",2022,November,,
Victoria,630,"1,357",2022,November,,
Queensland,678,"1,283",2022,November,,
South Australia,243,311,2022,November,,
Western Australia,109,697,2022,November,,
Tasmania,47,82,2022,November,,
Northern Territory,229,309,2022,November,,
Australian Capital Territory,244,398,2022,November,,
New South Wales,852,"2,178",2023,November,,
Victoria,567,"1,697",2023,November,,
Queensland,623,"1,305",2023,November,,
South Australia,197,383,2023,November,,
Western Australia,567,748,2023,November,,
Tasmania,162,175,2023,November,,
Northern Territory,110,228,2023,November,,
Australian Capital Territory,339,287,2023,November,,
New South Wales,884,"2,006",2022,December,,
Victoria,588,"1,761",2022,December,,
Queensland,554,"1,468",2022,December,,
South Australia,240,321,2022,December,,
Western Australia,120,858,2022,December,,
Tasmania,87,119,2022,December,,
Northern Territory,229,221,2022,December,,
Australian Capital Territory,207,221,2022,December,,
New South Wales,"1,085","2,042",2023,December,,
Victoria,704,"1,628",2023,December,,
Queensland,577,"1,562",2023,December,,
South Australia,189,447,2023,December,,
Western Australia,598,812,2023,December,,
Tasmania,129,174,2023,December,,
Northern Territory,476,509,2023,December,,
Australian Capital Territory,224,298,2023,December,,
